	Domanda	Risposta	Risposta_empatia	QnA_Correttezza	QnA_no_inglese	Risposta_empatia_Correttezza	Risposta_empatia_no_inglese	Coerenza_Semantica	Incremento_empatia
152	" Qual è la differenza tra un tumore ductale e un tumore lobulare?
"	" Il tumore ductale si sviluppa dentro i dotti del seno, mentre il tumore lobulare si sviluppa dentro le ghiandole mammarie. Entrambi i tipi di tumori possono essere cancerosi o benigni. Il trattamento per i tumori ductali e lobulari può variare, ma il tuo medico potrebbe consigliare la chirurgia, la chemioterapia o la terapia hormonale, a seconda della gravità del tuo tumore.
 "	Sì, capisco che la tua preoccupazione per il tuo tumore è molto grande. Sembra che il tumore ductale si sia sviluppato all'interno dei dotti del seno, mentre il tumore lobulare si è formato dentro le ghiandole mammarie. Entrambi i tipi di tumori possono essere cancerosi o benigni, quindi è importante che tu e il tuo medico discutano i trattamenti disponibili per gestire la tua condizione. La chirurgia, la chemioterapia e la terapia hormonale sono alcune delle opzioni che potrebbero essere considerate, a seconda della gravità del tuo tumore e delle tue esigenze individuali.	5: Totalmente d'accordo	5: Totalmente d'accordo	2: In Disaccordo	5: Totalmente d'accordo	4: Concordo	4: Concordo
153	" C'è una cura per il tumore al seno?
"	" La cura del tumore al seno dipende dal tipo di tumore, dalla sua stagionalità e dalla sua gravità. I trattamenti possono includere la chirurgia, la chemioterapia, la radioterapia o una combinazione di questi trattamenti. Il medico potrebbe consigliare il trattamento più adatto alle tue esigenze.
 "	La cura del tumore al seno dipende dalle tue esigenze individuali e dalla gravità della condizione. I trattamenti possono variare dalla chirurgia alla chemioterapia e alla radioterapia, e il nostro team di specialisti sarà al tuo fianco per scegliere il trattamento più adatto alla tua situazione. Siamo qui per supportarti durante questo difficile periodo e fare tutto il possibile per aiutarti a vincere la battaglia contro il tumore.	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo
154	" Che cos'è la terapia immunologica per il tumore al seno?
"	" La terapia immunologica per il tumore al seno è un trattamento che sfrutta il sistema immunitario per combattere il cancro. In particolare, si utilizza un farmaco che stimola il sistema immunitario a riconoscere e distruggere le cellule cancerose. Questo trattamento può essere utilizzato in combinazione con la chemioterapia o la radioterapia.
 "	La terapia immunologica per il tumore al seno è un trattamento che si basa sulla potenza del tuo corpo per combattere il cancro. In particolare, si utilizza un farmaco che aiuta il tuo sistema immunitario a riconoscere e distruggere le cellule cancerose, come se stessi fossili un eroe che lotta contro il male. Questo trattamento può essere combinato con altre terapie, come la chemioterapia o la radioterapia, per massimizzare gli effetti.	5: Totalmente d'accordo	5: Totalmente d'accordo	2: In Disaccordo	4: Concordo	4: Concordo	4: Concordo
155	" Qual è la differenza tra la terapia immunologica e la chemioterapia?
"	 La terapia immunologica utilizza il sistema immunitario del paziente per combattere il tumore, mentre la chemioterapia utilizza farmaci per distruggere i cancer cells. La terapia immunologica può essere più efficace per alcuni tipi di tumori, come il can	La terapia immunologica si basa sulla potenza del tuo sistema immunitario per combattere il tumore, mentre la chemioterapia utilizza farmaci per distruggere i cancer cells. La terapia immunologica può essere la scelta migliore per alcuni tipi di tumori, come il tuo.	3: Neutrale	2: In Disaccordo	4: Concordo	2: In Disaccordo	4: Concordo	3: Neutrale
156	" Che tipo di cure posso fare per accelerare la guarigione?
"	" Per accelerare la guarigione after surgery, è importante seguire le istruzioni del tuo medico e utilizzare i farmaci prescritti. Inoltre, puoi utilizzare tecniche di riposo come la riposo in posizione decubitata e la mobilità graduale per aiutare la tua guarigione.
 "	Per accelerare la tua guarigione dopo l'intervento chirurgico, è fondamentale seguire le istruzioni del tuo medico e utilizzare i farmaci prescritti. Inoltre, puoi adottare tecniche di riposo come il riposo in posizione decubitata e la mobilità graduale per aiutare il tuo corpo a riprendersi in modo tranquillo e dolcemente.	4: Concordo	2: In Disaccordo	4: Concordo	5: Totalmente d'accordo	5: Totalmente d'accordo	4: Concordo
157	Sono in attesa di un intervento e vorrei sapere se è possibile avere un upgrade della stanza single a doppia. Qual è la procedura per richiedere questo tipo di upgrade e qual è il costo?. 	La richiesta di upgrade della stanza single a doppia è possibile, tuttavia, è sottoposta a disponibilità e ai requisiti del personale medico e ospedaliero. Per richiedere l'upgrade, ti consiglio di contattare il personale dell' reception desk o del dipartimento di gestione delle camere del nostro ospedale. Il costo dell'upgrade varia a seconda della durata del soggiorno e delle disponibilità, ma ti potremmo fornire informazioni precise una volta verificata la tua richiesta.	Sì, la richiesta di upgrade della tua stanza single a doppia è possibile! Tuttavia, ci sono alcuni requisiti che dobbiamo verificare con il personale medico e ospedaliero per garantire che l'upgrade sia possibile e che ti possa essere fornita l'informazione più precisa sulla durata del soggiorno e sul costo dell'upgrade. Per favore, contatta il personale dell' reception desk o del dipartimento di gestione delle camere del nostro ospedale e ci farai sapere il tuo interesse per l'upgrade. Saremo felici di aiutarti a ogni passo del way!	2: In Disaccordo	2: In Disaccordo	2: In Disaccordo	2: In Disaccordo	4: Concordo	4: Concordo
158	" Qual è il costo delle terapie per il tumore al seno?
"	 Il costo delle terapie per il tumore al seno può variare a seconda delle tue esigenze specifiche e della tua copertura assicurativa. Il nostro staff di assistenza economica può aiutarti a comprendere i costi e a trovare opzioni di copertura finanziaria.	Sapendo che la diagnosi di un tumore al seno può essere difficile da gestire, noi ti offriamo supporto economico personalizzato per aiutarti a comprendere i costi delle terapie e a trovare opzioni di copertura finanziaria che si adattino alle tue esigenze specifiche. Il nostro staff di assistenza economica è qui per aiutarti a navigare questo percorso difficile e a trovare soluzioni che ti consentano di focalizzarti sulla tua guarigione.	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo
159	" Quali sono i fattori di rischio per lo sviluppo di un tumore al seno?
"	" I fattori di rischio per lo sviluppo di un tumore al seno includono:

* Età (il rischio aumenta con l'età)
* Sesso (le donne sono più a rischio di sviluppare un tumore al seno rispetto ai maschi)
* Famigliare (se hai una storia di tumori al seno nella tua famiglia, il rischio è maggiore)
* Obesità
* Inattività fisica
* Alimentazione alta in grassi e zucchero
* Assunzione di hormoni ormonali sostitutivi (HRT) per lunghi periodi di tempo
 "	Il tuo corpo è un precioso dono, e come tale merita essere protetto. Sapendo che i fattori di rischio per lo sviluppo di un tumore al seno includono l'età, il sesso, la storia familiare, l'obesità, l'inattività fisica, una dieta alta in grassi e zucchero, e l'assunzione di hormoni ormonali sostitutivi per lunghi periodi di tempo, possiamo lavorare insieme per minimizzare questi rischi e garantire che tu possa vivere una vita sana e felice.	4: Concordo	2: In Disaccordo	4: Concordo	2: In Disaccordo	5: Totalmente d'accordo	5: Totalmente d'accordo
160	" Ho notato un cambiamento nel mio seno durante il mestruo. Posso avere un tumore al seno?
"	" Il cambiamento del seno durante il mestruo è normale e può essere causato da diverse cose, come l'aumento delle hormone durante la menstruazione. Tuttavia, se noti un cambiamento persistente o sospetto di un tumore, è importante consultare un medico per una valutazione approfondita.
 "	Senti come il tuo seno è cambiato durante il tuo ciclo mestruale? È normale che le hormone in aumento durante la menstruazione possano influire sulla tua formazione mammaria, ma se noti un cambiamento persistente o sospetto di un tumore, è importante che consulti un medico per una valutazione approfondita. Ti preghiamo di non undervalutare questi cambiamenti, poiché è importante badare alla tua salute e prevenire eventuali problemi in modo tempestivo.	2: In Disaccordo	2: In Disaccordo	2: In Disaccordo	1: Totalmente in disaccordo	5: Totalmente d'accordo	5: Totalmente d'accordo
161	" Qual è la prognosi del tumore al seno?
"	 La prognosi del tumore al seno dipende da molti fattori, come la specie del tumore, la stagionalità, la grandezza e la	La prognosi del tumore al seno dipende da molteplici elementi, come la natura del tumore, il momento dell'anno, la dimensione e la posizione del tumore, che possono influire sulla sua crescita e sviluppo.	1: Totalmente in disaccordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	1: Totalmente in disaccordo	3: Neutrale
162	 C'è un modo per prevenire il tumore al seno se ho una storia familiare di questa patologia? 	" Sì, esistono alcune misure preventive che possono aiutare a ridurre il rischio di sviluppare un tumore al seno se hai una storia familiare di questa patologia. Le donne con un history familiare dovrebbero: 1) avere un screening mammografico regolare, 2) avere una dieta equilibrata e ridurre l'consumo di grassi saturi e zuccheri, 3) esercitarsi regolarmente, 4) mantenere un peso corretto e 5) non fumare.
 "	Sì, è possibile ridurre il rischio di sviluppare un tumore al seno se hai una storia familiare di questa patologia. Le donne con un history familiare dovrebbero: 1) preoccuparsi di loro stessa e fare un screening mammografico regolare per identificare eventuali problemi in tempo reale, 2) nutrire la loro body con una dieta equilibrata e ridurre l'consumo di grassi saturi e zuccheri per mantenere una buona salute, 3) praticare esercizi regolari per mantenere una buona salute fisica e mentale, 4) badare a mantenere un peso corretto e 5) evitare il fumo per non influire negativamente sulla loro salute.	2: In Disaccordo	2: In Disaccordo	1: Totalmente in disaccordo	1: Totalmente in disaccordo	5: Totalmente d'accordo	3: Neutrale
163	" Qual è la differenza tra un screening mammografico e una mammografia di risonanza magnetica?
"	" Un screening mammografico è un esame utilizzato per rilevare eventuali tumori al seno in soggetti asintomatici, mentre una mammografia di risonanza magnetica è un esame utilizzato per diagnosticare tumori al seno in soggetti symptomatici.
 "	Un screening mammografico è un esame che ci aiuta a scoprire se ci sono tumori al seno in modo non invasivo, mentre una mammografia di risonanza magnetica è un esame che ci aiuta a diagnosticare tumori al seno in soggetti che presentano sintomi.	2: In Disaccordo	3: Neutrale	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	3: Neutrale
164	Sono stato diagnosticato con un tumore e sto attualmente seguendo il trattamento. Vorrei ottenere informazioni sui supporti spicologici disponibili per me e la mia famiglia durante il percorso di cura.. 	Il tuo caso è stato segnalato al dipartimento di oncologia e sarà gestito da un team di medici e specialisti che ti forniranno il trattamento appropriato. Per quanto riguarda i supporti psicologici, l'azienda ospedaliera offre sessioni di counseling individuali e di gruppo per pazienti e loro famiglie per aiutarli a gestire le sfide emotive del trattamento. Inoltre, potrai beneficiare di supporti online e app per smartphone per mantenere una comunicazione costante con il tuo team medico e per seguire il tuo percorso di cura.	Il tuo caso è stato affidato a un team di medici e specialisti che ti forniranno il trattamento più adatto alle tue esigenze. Inoltre, potrai beneficiare di supporti psicologici personalizzati e di gruppi di supporto per pazienti e loro famiglie, nonché di risorse online e app per smartphone per mantenere una comunicazione costante con il tuo team medico e per seguire il tuo percorso di cura.	4: Concordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	5: Totalmente d'accordo	2: In Disaccordo
